Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Swiss Family Robinson,https://www.imdb.com/title/tt0054357/?ref_=sr_t_1,1960,2h 6m,Approved,7.1,19K,A Swiss family must survive being shipwrecked on a deserted island.
2. Psycho,https://www.imdb.com/title/tt0054215/?ref_=sr_t_2,1960,1h 49m,R,8.5,745K,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
3. The Apartment,https://www.imdb.com/title/tt0053604/?ref_=sr_t_3,1960,2h 5m,Approved,8.3,206K,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
4. Spartacus,https://www.imdb.com/title/tt0054331/?ref_=sr_t_4,1960,3h 17m,PG-13,7.9,147K,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
5. Breathless,https://www.imdb.com/title/tt0053472/?ref_=sr_t_5,1960,1h 30m,Not Rated,7.7,90K,"A small-time crook, hunted by the authorities for a car theft and the murder of a police officer, attempts to persuade a hip American journalism student to run away with him to Italy."
6. Mughal-E-Azam,https://www.imdb.com/title/tt0054098/?ref_=sr_t_6,1960,3h 17m,Not Rated,8.1,9.1K,A 16th century prince falls in love with a court dancer and battles with his emperor father.
7. The Big Risk,https://www.imdb.com/title/tt0052698/?ref_=sr_t_7,1960,1h 43m,Not Rated,7.5,4.7K,"A ruthless criminal flees from the pursuit, involving more and more casualties."
8. Eyes Without a Face,https://www.imdb.com/title/tt0053459/?ref_=sr_t_8,1960,1h 30m,Approved,7.6,37K,A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.
9. The Bad Sleep Well,https://www.imdb.com/title/tt0054460/?ref_=sr_t_9,1960,2h 31m,Not Rated,8.0,15K,A vengeful young man marries the daughter of a corrupt industrialist in order to seek justice for his father's suicide.
10. Peeping Tom,https://www.imdb.com/title/tt0054167/?ref_=sr_t_10,1960,1h 41m,Not Rated,7.6,42K,"A young man murders women, using a movie camera to film their dying expressions of terror."
11. The Hole,https://www.imdb.com/title/tt0054407/?ref_=sr_t_11,1960,2h 11m,Not Rated,8.5,22K,Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.
12. The Passionate Thief,https://www.imdb.com/title/tt0054242/?ref_=sr_t_12,1960,1h 46m,,7.3,971,"Tortorella tries to spend New Year's Eve with her wealthy friends, but ends up with an actor in decay and a pickpocket."
13. Shoot the Piano Player,https://www.imdb.com/title/tt0054389/?ref_=sr_t_13,1960,1h 32m,Not Rated,7.4,21K,"A pianist helps his brother escape from two gangsters, who retaliate by abducting their kid brother."
14. The Pusher,https://www.imdb.com/title/tt0054219/?ref_=sr_t_14,1960,1h 21m,Not Rated,6.2,172,"A detective investigating the murder of a heroin addict discovers that there is a connection between the junkie and his fiancee, who is his boss' daughter."
15. The Magnificent Seven,https://www.imdb.com/title/tt0054047/?ref_=sr_t_15,1960,2h 8m,Approved,7.7,106K,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
16. La Dolce Vita,https://www.imdb.com/title/tt0053779/?ref_=sr_t_16,1960,2h 54m,Not Rated,8.0,82K,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.
