Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt0061184/?ref_=sr_t_1,7500000.0,28006929.0,28000000.0,,['Mike Nichols'],"['Ernest Lehman', 'Edward Albee']","['Elizabeth Taylor', 'Richard Burton', 'George Segal']","['Psychological Drama', 'Drama']",['United States'],"['Cambridge, Massachusetts, USA']","['Warner Bros.', 'Chenault Productions']","['English', 'Latin', 'Spanish']",22,26,5,1966
https://www.imdb.com/title/tt0060196/?ref_=sr_t_2,1200000.0,25264999.0,25100000.0,,['Sergio Leone'],"['Luciano Vincenzoni', 'Sergio Leone', 'Agenore Incrocci']","['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']","['Adventure Epic', 'Dark Comedy', 'Desert Adventure', 'Epic', 'Period Drama', 'Quest', 'Spaghetti Western', 'Western Epic', 'Adventure', 'Drama']","['Italy', 'Spain', 'West Germany', 'United States']","['Carazo, Burgos, Castilla y León, Spain']","['Produzioni Europee Associate (PEA)', 'Arturo González Producciones Cinematográficas', 'Constantin Film']",['Italian'],2,5,0,1966
https://www.imdb.com/title/tt0058946/?ref_=sr_t_3,800000.0,962002.0,879794.0,64870.0,['Gillo Pontecorvo'],"['Franco Solinas', 'Gillo Pontecorvo']","['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi']","['Docudrama', 'Political Drama', 'Drama', 'War']","['Italy', 'Algeria']","['Casbah, Algiers, Algeria']","['Igor Film', 'Casbah Film']","['Arabic', 'French', 'English', 'Spanish']",9,8,3,1966
https://www.imdb.com/title/tt0060675/?ref_=sr_t_4,,205543.0,200380.0,26855.0,['Jean-Luc Godard'],"['Jean-Luc Godard', 'Guy de Maupassant']","['Jean-Pierre Léaud', 'Chantal Goya', 'Marlène Jobert']","['Teen Drama', 'Drama', 'Romance']","['France', 'Sweden']","['Scandic Hotel Continental, Norrmalm, Stockholm, Stockholms län, Sweden']","['Anouchka Films', 'Argos Films', 'Sandrews']","['French', 'Swedish', 'English']",3,3,0,1966
https://www.imdb.com/title/tt0060107/?ref_=sr_t_5,1000000.0,176472.0,124189.0,11537.0,['Andrei Tarkovsky'],"['Andrei Konchalovsky', 'Andrei Tarkovsky']","['Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko']","['Docudrama', 'Period Drama', 'Biography', 'Drama', 'History']",['Soviet Union'],"['Assumption Cathedral of the Dormition, Vladimir, Russia']","['Mosfilm', 'Tvorcheskoe Obedinienie Pisateley i Kinorabotnikov']","['Russian', 'Italian', 'Tatar']",4,0,0,1966
https://www.imdb.com/title/tt0060647/?ref_=sr_t_6,50000.0,95304.0,95209.0,11147.0,['Jean-Luc Godard'],"['Jean-Luc Godard', 'Donald E. Westlake']","['Anna Karina', 'László Szabó', 'Jean-Pierre Léaud']","['Comedy', 'Crime', 'Mystery']",['France'],"['Paris, France']","['Anouchka Films', 'Rome Paris Films', 'S.E.P.I.C.']","['French', 'English']",0,0,0,1966
https://www.imdb.com/title/tt0060138/?ref_=sr_t_7,,45406.0,45406.0,8436.0,['Robert Bresson'],['Robert Bresson'],"['Anne Wiazemsky', 'Walter Green', 'François Lafarge']","['Epic', 'Psychological Drama', 'Tragedy', 'Drama']","['France', 'Sweden']","['Guyancourt, Yvelines, France']","['Argos Films', 'Athos Films', 'Parc Film']","['French', 'Latin']",7,2,0,1966
https://www.imdb.com/title/tt0060891/?ref_=sr_t_8,,32659.0,30245.0,6273.0,['Jacques Rivette'],"['Denis Diderot', 'Jean Gruault', 'Jacques Rivette']","['Anna Karina', 'Liselotte Pulver', 'Micheline Presle']",['Drama'],['France'],"['Chartreuse, 58 rue de la République, Villeneuve-les-Avignon, Gard, France']","['Rome Paris Films', 'Société Nouvelle de Cinématographie (SNC)']","['French', 'Latin']",0,2,0,1966
https://www.imdb.com/title/tt0060315/?ref_=sr_t_9,,30323.0,25916.0,6150.0,['Sergio Corbucci'],"['Sergio Corbucci', 'Bruno Corbucci', 'Franco Rossetti']","['Franco Nero', 'José Canalejas', 'José Bódalo']","['Spaghetti Western', 'Action', 'Drama', 'Western']","['Italy', 'Spain']","['Torremocha de Jarama, Madrid, Spain']","['B.R.C. Produzione S.r.l.', 'Tecisa']",['Italian'],0,0,0,1966
https://www.imdb.com/title/tt0060908/?ref_=sr_t_10,,18130.0,17646.0,3443.0,['Philippe de Broca'],"['Daniel Boulanger', 'Maurice Bessy']","['Alan Bates', 'Geneviève Bujold', 'Pierre Brasseur']","['Period Drama', 'Political Drama', 'Satire', 'Comedy', 'Drama', 'War']","['France', 'Italy']","['Senlis, Oise, France']","['Fildebroc', 'Les Productions Artistes Associés', 'Compagnia Cinematografica Montoro']","['French', 'English', 'German', 'Latin']",0,0,0,1966
