Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Barbie,https://www.imdb.com/title/tt1517268/?ref_=sr_t_1,2023,1h 54m,PG-13,6.8,593K,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",100000000.0,1447038421,636238421,162022044,['Greta Gerwig'],"['Greta Gerwig', 'Noah Baumbach']","['Margot Robbie', 'Ryan Gosling', 'Issa Rae']","['High-Concept Comedy', 'Quirky Comedy', 'Satire', 'Adventure', 'Comedy', 'Fantasy']","['United States', 'United Kingdom']","['Venice Beach, Venice, Los Angeles, California, USA']","['Warner Bros.', 'Heyday Films', 'LuckyChap']","['English', 'Spanish']",208,437,1,2023
2. The Super Mario Bros. Movie,https://www.imdb.com/title/tt6718170/?ref_=sr_t_2,2023,1h 32m,PG,7.0,260K,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess.",100000000.0,1360847665,574934330,146361865,"['Aaron Horvath', 'Michael Jelenic', 'Pierre Leduc']",['Matthew Fogel'],"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day']","['Adventure Epic', 'Computer Animation', 'Fantasy Epic', 'High-Concept Comedy', 'Quest', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family']","['United States', 'Japan', 'France']","['Paris, France']","['Universal Pictures', 'Nintendo', 'Illumination Entertainment']",['English'],2,48,0,2023
3. Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/?ref_=sr_t_3,2023,2h 20m,PG,8.5,436K,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",150000000.0,690824738,381593754,120663589,"['Joaquim Dos Santos', 'Kemp Powers', 'Justin K. Thompson']","['Phil Lord', 'Christopher Miller', 'Dave Callaham']","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry']","['Computer Animation', 'Superhero', 'Supernatural Fantasy', 'Teen Adventure', 'Urban Adventure', 'Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",['United States'],[],"['Columbia Pictures', 'Marvel Entertainment', 'Avi Arad Productions']",['English'],106,165,1,2023
4. Guardians of the Galaxy Vol. 3,https://www.imdb.com/title/tt6791350/?ref_=sr_t_4,2023,2h 30m,PG-13,7.9,417K,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",250000000.0,845555777,358995815,118414021,['James Gunn'],"['James Gunn', 'Jim Starlin', 'Stan Lee']","['Chris Pratt', 'Chukwudi Iwuji', 'Bradley Cooper']","['Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']","['United States', 'New Zealand', 'France', 'Canada']","['Atlanta, Georgia, USA']","['Marvel Studios', 'Film New Zealand', 'Marvel Entertainment']","['English', 'Russian']",11,88,1,2023
5. Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=sr_t_5,2023,3h,R,8.3,852K,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",100000000.0,975594978,329862540,82455420,['Christopher Nolan'],"['Christopher Nolan', 'Kai Bird', 'Martin Sherwin']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon']","['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Psychological Drama', 'Biography', 'Drama', 'History']","['United States', 'United Kingdom']","['Los Alamos, New Mexico, USA']","['Universal Pictures', 'Atlas Entertainment', 'Gadget Films']","['English', 'German', 'Italian', 'Dutch']",361,371,7,2023
6. The Little Mermaid,https://www.imdb.com/title/tt5971474/?ref_=sr_t_6,2023,2h 15m,PG,7.2,164K,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,355100000.0,569626289,298172056,95578040,['Rob Marshall'],"['David Magee', 'Hans Christian Andersen', 'John Musker']","['Halle Bailey', 'Jonah Hauer-King', 'Melissa McCarthy']","['Fairy Tale', 'Feel-Good Romance', 'Sea Adventure', 'Teen Romance', 'Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",['United States'],"['Sardinia, Italy']","['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",['English'],2,31,0,2023
7. Wonka,https://www.imdb.com/title/tt6166392/?ref_=sr_t_7,2023,1h 56m,PG,7.0,172K,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",125000000.0,634502312,218402312,39005800,['Paul King'],"['Roald Dahl', 'Paul King', 'Simon Farnaby']","['Timothée Chalamet', 'Gustave Die', 'Murray McArthur']","['Supernatural Fantasy', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","['United States', 'United Kingdom', 'Canada']","['Bath, Somerset, England, UK']","['Warner Bros.', 'Village Roadshow Pictures', 'The Roald Dahl Story Company']","['English', 'Latin', 'French']",3,42,0,2023
8. Ant-Man and the Wasp: Quantumania,https://www.imdb.com/title/tt10954600/?ref_=sr_t_8,2023,2h 4m,PG-13,6.0,246K,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?",200000000.0,476071180,214504909,106109650,['Peyton Reed'],"['Jeff Loveness', 'Stan Lee', 'Larry Lieber']","['Paul Rudd', 'Evangeline Lilly', 'Michael Douglas']","['Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']","['United States', 'Australia', 'Canada']","['Nevsehir, Turkey']","['Marvel Studios', ""Lightnin' Production Rentals"", 'Québec Production Services Tax Credit']",['English'],0,14,0,2023
9. John Wick: Chapter 4,https://www.imdb.com/title/tt10366206/?ref_=sr_t_9,2023,2h 49m,R,7.6,368K,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",100000000.0,440180275,187131806,73817950,['Chad Stahelski'],"['Shay Hatten', 'Michael Finch', 'Derek Kolstad']","['Keanu Reeves', 'Laurence Fishburne', 'George Georgiou']","['Action Epic', 'Gun Fu', 'One-Person Army Action', 'Action', 'Crime', 'Thriller']","['United States', 'Germany']","['Wadi Rum Desert, Jordan']","['Lionsgate', 'Thunder Road Pictures', '87Eleven Entertainment']","['English', 'Japanese', 'Russian', 'French', 'Spanish', 'German', 'Latin', 'Cantonese', 'Arabic']",37,47,0,2023
10. Sound of Freedom,https://www.imdb.com/title/tt7599146/?ref_=sr_t_10,2023,2h 11m,PG-13,7.6,128K,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.,14600000.0,250570396,184178046,19680879,['Alejandro Monteverde'],"['Rod Barr', 'Alejandro Monteverde']","['Jim Caviezel', 'Mira Sorvino', 'Bill Camp']","['Docudrama', 'True Crime', 'Biography', 'Crime', 'Drama', 'History', 'Thriller']","['Mexico', 'United States']","['Cartagena, Colombia']","['2521 Entertainment', 'Metanoia', 'Santa Fe Films']","['English', 'Spanish']",2,4,0,2023
