Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/?ref_=sr_t_1,1983,2h 11m,PG,8.3,1.2M,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",32500000.0,482466382,316566101,23019618.0,['Richard Marquand'],"['Lawrence Kasdan', 'George Lucas']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']","['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Globetrotting Adventure', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery']",['United States'],"['Miller-Rellim Redwood Company Property, Morrison Creek Road, Smith River, California, USA']",['Lucasfilm'],"['English', 'Kikuyu', 'Tagalog', 'Kalmyk-Oirat', 'Quechua', 'Polish']",25,23,4,1983
2. Terms of Endearment,https://www.imdb.com/title/tt0086425/?ref_=sr_t_2,1983,2h 12m,PG,7.4,68K,Widow Aurora Greenway juggles her own struggles with a new romantic interest while trying to sort out the emotional problems of her daughter who's married to a philandering husband.,8000000.0,108423749,108423489,3498813.0,['James L. Brooks'],"['Larry McMurtry', 'James L. Brooks']","['Shirley MacLaine', 'Debra Winger', 'Jack Nicholson']","['Comedy', 'Drama']",['United States'],"['3060 Locke Lane, Houston, Texas, USA']",['Paramount Pictures'],['English'],32,22,5,1983
3. Flashdance,https://www.imdb.com/title/tt0085549/?ref_=sr_t_3,1983,1h 35m,R,6.2,61K,"An 18-year-old female amateur dancer who performs nightly at a dancing bar, and works as a welder during the day, dreams of joining the Pittsburgh ballet school.",7500000.0,92921203,92921203,4076124.0,['Adrian Lyne'],"['Thomas Hedley Jr.', 'Joe Eszterhas']","['Jennifer Beals', 'Michael Nouri', 'Lilia Skala']","['Feel-Good Romance', 'Drama', 'Music', 'Romance']",['United States'],"['Keystone Commons former Westinghouse Turbine Factory, East Pittsburgh, Pennsylvania, USA']","['Paramount Pictures', 'Polygram Filmed Entertainment', 'Don Simpson/Jerry Bruckheimer Films']",['English'],13,16,1,1983
4. Trading Places,https://www.imdb.com/title/tt0086465/?ref_=sr_t_4,1983,1h 56m,R,7.5,173K,A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.,15000000.0,90404800,90404800,7348200.0,['John Landis'],"['Timothy Harris', 'Herschel Weingrod']","['Eddie Murphy', 'Dan Aykroyd', 'Ralph Bellamy']","['Satire', 'Comedy']",['United States'],"['St. Croix, U.S. Virgin Islands']","['Paramount Pictures', 'Cinema Group Ventures']",['English'],3,8,1,1983
5. WarGames,https://www.imdb.com/title/tt0086567/?ref_=sr_t_5,1983,1h 54m,PG,7.1,115K,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III.",12000000.0,79567667,79567667,6227804.0,['John Badham'],"['Lawrence Lasker', 'Walter F. Parkes']","['Matthew Broderick', 'Ally Sheedy', 'John Wood']","['Cyber Thriller', 'Political Drama', 'Political Thriller', 'Teen Drama', 'Action', 'Drama', 'Sci-Fi', 'Thriller']",['United States'],"['Anderson Island, Washington, USA']","['United Artists', 'Sherwood Productions']",['English'],4,14,3,1983
6. Octopussy,https://www.imdb.com/title/tt0086034/?ref_=sr_t_6,1983,2h 11m,PG,6.5,116K,"A fake Fabergé egg recovered from the body of a fellow agent leads James Bond to uncover a jewel smuggling operation led by the mysterious Octopussy, and a plot to blow up a NATO air base.",27500000.0,67917359,67893619,8902564.0,['John Glen'],"['George MacDonald Fraser', 'Richard Maibaum', 'Michael G. Wilson']","['Roger Moore', 'Maud Adams', 'Louis Jourdan']","['Action', 'Adventure', 'Thriller']",['United Kingdom'],"['Monsoon Palace, Udaipur, Rajasthan, India']","['United Artists', 'Eon Productions', 'Danjaq']","['English', 'Russian', 'German', 'Spanish', 'Hindi']",2,4,0,1983
7. Sudden Impact,https://www.imdb.com/title/tt0086383/?ref_=sr_t_7,1983,1h 57m,R,6.6,50K,"When a woman exacts deadly revenge on the aggressors who raped her and her sister ten years earlier, Inspector ""Dirty"" Harry Callahan is assigned to the case.",22000000.0,67642693,67642693,9688561.0,['Clint Eastwood'],"['Harry Julian Fink', 'Rita M. Fink', 'Joseph Stinson']","['Clint Eastwood', 'Sondra Locke', 'Pat Hingle']","['Action', 'Crime', 'Thriller']",['United States'],"['Santa Cruz Beach, Santa Cruz, California, USA']","['Warner Bros.', 'The Malpaso Company']",['English'],0,3,0,1983
8. Staying Alive,https://www.imdb.com/title/tt0086361/?ref_=sr_t_8,1983,1h 33m,PG,4.8,18K,"Five years later, Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenge yet: succeeding as a dancer on the Broadway stage.",22000000.0,64893329,64892670,12146143.0,['Sylvester Stallone'],"['Nik Cohn', 'Sylvester Stallone', 'Norman Wexler']","['John Travolta', 'Cynthia Rhodes', 'Finola Hughes']","['Drama', 'Music', 'Romance']",['United States'],"['Philharmonic Auditorium - 427 West 5th Street and South Olive Street, Downtown, Los Angeles, California, USA']","['Paramount Pictures', 'Cinema Group Ventures']",['English'],0,6,0,1983
9. Mr. Mom,https://www.imdb.com/title/tt0085970/?ref_=sr_t_9,1983,1h 31m,PG,6.6,29K,"After he's suddenly laid off, a husband switches roles with his wife. She returns to the workforce, and he becomes a stay-at-home dad, and he has to take care of three young children, a job he has no clue how to do.",,64783827,64783827,947197.0,['Stan Dragoti'],['John Hughes'],"['Michael Keaton', 'Teri Garr', 'Frederick Koehler']","['Comedy', 'Drama']",['United States'],"['152 Greenfield Avenue, Los Angeles, California, USA']",['Sherwood Productions'],['English'],0,0,0,1983
10. Risky Business,https://www.imdb.com/title/tt0086200/?ref_=sr_t_10,1983,1h 39m,R,6.8,103K,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.",6200000.0,63542350,63541777,4275327.0,['Paul Brickman'],['Paul Brickman'],"['Tom Cruise', 'Rebecca De Mornay', 'Joe Pantoliano']","['Raunchy Comedy', 'Teen Comedy', 'Comedy', 'Crime', 'Drama', 'Romance']",['United States'],"['Niles East High School - 7700 Lincoln Avenue, Skokie, Illinois, USA']",['The Geffen Company'],"['English', 'German']",0,3,0,1983
