Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt0101414/?ref_=sr_t_1,25000000.0,451291298,218967620,162146,"['Gary Trousdale', 'Kirk Wise']","['Linda Woolverton', 'Brenda Chapman', 'Chris Sanders']","[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","['Dark Fantasy', 'Fairy Tale', 'Fantasy Epic', 'Hand-Drawn Animation', 'Romantic Epic', 'Animation', 'Family', 'Fantasy', 'Musical', 'Romance']","['United States', 'Japan']","['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Silver Screen Partners IV', 'Walt Disney Animation Studios']","['English', 'French']",33,32,2,1991
https://www.imdb.com/title/tt0103064/?ref_=sr_t_2,102000000.0,517778573,205881154,31765506,['James Cameron'],"['James Cameron', 'William Wisher']","['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']","['Action Epic', 'Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'Sci-Fi Epic', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'France']","['Bayside Parkway & Gateway Boulevard, Fremont, California, USA']","['Carolco Pictures', 'Pacific Western', 'Lightstorm Entertainment']","['English', 'Spanish']",39,33,4,1991
https://www.imdb.com/title/tt0102798/?ref_=sr_t_3,48000000.0,390493908,165493908,25625602,['Kevin Reynolds'],"['Pen Densham', 'John Watson']","['Kevin Costner', 'Morgan Freeman', 'Mary Elizabeth Mastrantonio']","['Swashbuckler', 'Action', 'Adventure', 'Drama', 'Romance']",['United States'],"[""Hadrian's Wall, England, UK""]","['Warner Bros.', 'Morgan Creek Entertainment']","['English', 'Arabic']",16,24,1,1991
https://www.imdb.com/title/tt0102926/?ref_=sr_t_4,19000000.0,272742922,130742922,13766814,['Jonathan Demme'],"['Thomas Harris', 'Ted Tally']","['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn']","['Police Procedural', 'Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Horror', 'Thriller']",['United States'],"['Bimini Airport, South Bimini Island, Bimini Islands, Bahamas']","['Strong Heart/Demme Production', 'Orion Pictures']","['English', 'Latin']",71,50,5,1991
https://www.imdb.com/title/tt0101587/?ref_=sr_t_5,27000000.0,179033791,124033791,13032121,['Ron Underwood'],"['Lowell Ganz', 'Babaloo Mandel']","['Billy Crystal', 'Jack Palance', 'Daniel Stern']","['Buddy Comedy', 'Contemporary Western', 'High-Concept Comedy', 'Comedy', 'Western']",['United States'],"['Ghost Ranch, Abiquiu, New Mexico, USA']","['Castle Rock Entertainment', 'Nelson Entertainment', 'Face Productions']",['English'],8,7,1,1991
https://www.imdb.com/title/tt0102057/?ref_=sr_t_6,70000000.0,300854823,119654823,13522535,['Steven Spielberg'],"['J.M. Barrie', 'James V. Hart', 'Nick Castle']","['Dustin Hoffman', 'Robin Williams', 'Julia Roberts']","['Fairy Tale', 'Parody', 'Swashbuckler', 'Adventure', 'Comedy', 'Family', 'Fantasy']",['United States'],"[""Kaua'i, Hawaii, USA""]","['TriStar Pictures', 'Amblin Entertainment', 'Allied Stars Ltd.']",['English'],6,24,5,1991
https://www.imdb.com/title/tt0101272/?ref_=sr_t_7,30000000.0,191502426,113502426,24203754,['Barry Sonnenfeld'],"['Charles Addams', 'Caroline Thompson', 'Larry Wilson']","['Anjelica Huston', 'Raul Julia', 'Christopher Lloyd']","['Dark Comedy', 'Satire', 'Supernatural Fantasy', 'Comedy', 'Fantasy']",['United States'],"['Toluca Lake, Los Angeles, California, USA']","['Orion Pictures', 'Paramount Pictures', 'Scott Rudin Productions']","['English', 'Italian', 'French']",5,23,1,1991
https://www.imdb.com/title/tt0102945/?ref_=sr_t_8,19000000.0,174999005,101599005,13777943,['Joseph Ruben'],"['Nancy Price', 'Ron Bass']","['Julia Roberts', 'Patrick Bergin', 'Kevin Anderson']","['Psychological Thriller', 'Drama', 'Thriller']",['United States'],"['Abbeville, South Carolina, USA']",['Twentieth Century Fox'],['English'],2,4,0,1991
https://www.imdb.com/title/tt0101862/?ref_=sr_t_9,20000000.0,89325780,89325780,7031146,['Charles Shyer'],"['Frances Goodrich', 'Albert Hackett', 'Nancy Meyers']","['Steve Martin', 'Diane Keaton', 'Martin Short']","['Romantic Comedy', 'Comedy', 'Family', 'Romance']",['United States'],"['843 S. El Molino Avenue, Pasadena, California, USA']","['Touchstone Pictures', 'Touchwood Pacific Partners 1', 'Sandollar Productions']",['English'],0,5,0,1991
https://www.imdb.com/title/tt0102510/?ref_=sr_t_10,23000000.0,86930411,86930411,20817139,['David Zucker'],"['Jim Abrahams', 'David Zucker', 'Jerry Zucker']","['Leslie Nielsen', 'Priscilla Presley', 'George Kennedy']","['Parody', 'Slapstick', 'Comedy', 'Crime']",['United States'],"['1400 Tower Grove Drive, Beverly Hills, California, USA']",['Paramount Pictures'],"['English', 'Spanish']",2,0,0,1991
