Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
1. Star Wars: Episode III - Revenge of the Sith,https://www.imdb.com/title/tt0121766/?ref_=sr_t_1,2005,2h 20m,PG-13,7.6,871K,"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination."
"2. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/?ref_=sr_t_2,2005,2h 23m,PG,6.9,440K,"While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realize that it was fated and they must now unite with Aslan to defeat an evil queen."
3. Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/?ref_=sr_t_3,2005,2h 37m,PG-13,7.7,710K,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
4. War of the Worlds,https://www.imdb.com/title/tt0407304/?ref_=sr_t_4,2005,1h 57m,PG-13,6.5,487K,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.
5. King Kong,https://www.imdb.com/title/tt0360717/?ref_=sr_t_5,2005,3h 7m,PG-13,7.2,457K,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives."
6. Wedding Crashers,https://www.imdb.com/title/tt0396269/?ref_=sr_t_6,2005,1h 59m,R,7.0,384K,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary."
7. Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=sr_t_7,2005,2h 20m,PG-13,8.2,1.6M,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
8. Charlie and the Chocolate Factory,https://www.imdb.com/title/tt0367594/?ref_=sr_t_8,2005,1h 55m,PG,6.7,546K,"Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas."
9. Madagascar,https://www.imdb.com/title/tt0351283/?ref_=sr_t_9,2005,1h 26m,PG,6.9,453K,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild."
10. Mr. & Mrs. Smith,https://www.imdb.com/title/tt0356910/?ref_=sr_t_10,2005,2h,PG-13,6.5,562K,"A husband and wife struggle to keep their marriage alive until they realize they are both secretly working as assassins. Now, their respective assignments require them to kill each other."
11. Hitch,https://www.imdb.com/title/tt0386588/?ref_=sr_t_11,2005,1h 58m,PG-13,6.6,341K,A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress.
12. The Longest Yard,https://www.imdb.com/title/tt0398165/?ref_=sr_t_12,2005,1h 53m,PG-13,6.4,201K,Prison inmates form a football team to challenge the prison guards.
13. Fantastic Four,https://www.imdb.com/title/tt0120667/?ref_=sr_t_13,2005,1h 46m,PG-13,5.7,353K,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom."
14. Chicken Little,https://www.imdb.com/title/tt0371606/?ref_=sr_t_14,2005,1h 21m,G,5.7,104K,"After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion."
15. Robots,https://www.imdb.com/title/tt0358082/?ref_=sr_t_15,2005,1h 31m,PG,6.4,167K,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management."
16. Walk the Line,https://www.imdb.com/title/tt0358273/?ref_=sr_t_16,2005,2h 16m,PG-13,7.8,272K,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
17. The Pacifier,https://www.imdb.com/title/tt0395699/?ref_=sr_t_17,2005,1h 35m,PG,5.6,103K,"Having recovered from wounds received in a failed rescue operation, Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house."
18. Fun with Dick and Jane,https://www.imdb.com/title/tt0369441/?ref_=sr_t_18,2005,1h 30m,PG-13,6.2,158K,"When an affluent couple lose all their money following a series of blunders, they turn to a life of crime to make ends meet."
19. The 40-Year-Old Virgin,https://www.imdb.com/title/tt0405422/?ref_=sr_t_19,2005,1h 56m,R,7.1,481K,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother."
20. Flightplan,https://www.imdb.com/title/tt0408790/?ref_=sr_t_20,2005,1h 38m,PG-13,6.3,175K,"A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane."
21. Saw II,https://www.imdb.com/title/tt0432348/?ref_=sr_t_21,2005,1h 33m,R,6.6,286K,A detective and his team must rescue 8 people trapped in a factory by a man known as Jigsaw.
22. Brokeback Mountain,https://www.imdb.com/title/tt0388795/?ref_=sr_t_22,2005,2h 14m,R,7.7,397K,"Two shepherds fall for each other, but their relationship becomes complicated when they both get married to their respective girlfriends."
23. Monster-in-Law,https://www.imdb.com/title/tt0369735/?ref_=sr_t_23,2005,1h 41m,PG-13,5.6,67K,"Charlotte's love life is reduced to an endless string of disastrous blind dates--until she meets the perfect man, Kevin. Unfortunately, his merciless mother will do anything to destroy their relationship."
24. Are We There Yet?,https://www.imdb.com/title/tt0368578/?ref_=sr_t_24,2005,1h 35m,PG,4.8,35K,"To impress a foxy divorcee, ladies' man Nick offers to take her kids on an extended road trip, unaware of the torture he's in for."
25. Cheaper by the Dozen 2,https://www.imdb.com/title/tt0452598/?ref_=sr_t_25,2005,1h 34m,PG,5.5,64K,The Bakers find themselves competing with a rival family of eight children while on vacation.
26. The Dukes of Hazzard,https://www.imdb.com/title/tt0377818/?ref_=sr_t_26,2005,1h 44m,PG-13,5.1,83K,"Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane."
27. March of the Penguins,https://www.imdb.com/title/tt0428803/?ref_=sr_t_27,2005,1h 20m,G,7.5,61K,"In the Antarctic, every March since the beginning of time, the quest begins to find the perfect mate and start a family."
28. The Ring Two,https://www.imdb.com/title/tt0377109/?ref_=sr_t_28,2005,1h 50m,PG-13,5.4,103K,"6 months after the incidents involving the lethal videotape, new clues prove that there is a new evil lurking in the darkness."
29. Constantine,https://www.imdb.com/title/tt0360486/?ref_=sr_t_29,2005,2h 1m,R,7.0,388K,"Detective Angela approaches Constantine, a demon hunter, to help her investigate her twin sister's mysterious death. As he digs deeper, he realizes that demons are trying to enter the human world."
30. The Exorcism of Emily Rose,https://www.imdb.com/title/tt0404032/?ref_=sr_t_30,2005,1h 59m,PG-13,6.7,144K,A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.
31. Four Brothers,https://www.imdb.com/title/tt0430105/?ref_=sr_t_31,2005,1h 49m,R,6.8,163K,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems."
32. Sin City,https://www.imdb.com/title/tt0401792/?ref_=sr_t_32,2005,2h 4m,R,8.0,804K,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
33. The Interpreter,https://www.imdb.com/title/tt0373926/?ref_=sr_t_33,2005,2h 8m,PG-13,6.4,112K,"Political intrigue and deception unfold inside the United Nations, where a U.S. Secret Service agent is assigned to investigate an interpreter who overhears an assassination plot."
34. V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=sr_t_34,2005,2h 12m,R,8.1,1.2M,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
35. Guess Who,https://www.imdb.com/title/tt0372237/?ref_=sr_t_35,2005,1h 45m,PG-13,5.9,47K,"A young woman, Theresa, brings her boyfriend, Simon, home to meet her parents and surprise them with the news of their engagement. Another surprise: Simon is white."
36. Sahara,https://www.imdb.com/title/tt0318649/?ref_=sr_t_36,2005,2h 4m,PG-13,6.1,106K,"Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator."
37. Coach Carter,https://www.imdb.com/title/tt0393162/?ref_=sr_t_37,2005,2h 16m,PG-13,7.3,178K,Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.
38. Herbie Fully Loaded,https://www.imdb.com/title/tt0400497/?ref_=sr_t_38,2005,1h 41m,G,4.9,52K,"Maggie Peyton, the new owner of Herbie, Number 53, the free-wheelin' Volkswagen bug with a mind of its own, puts the car through its paces on the road to becoming a NASCAR competitor."
39. The Amityville Horror,https://www.imdb.com/title/tt0384806/?ref_=sr_t_39,2005,1h 30m,R,5.9,120K,Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.
40. Sky High,https://www.imdb.com/title/tt0405325/?ref_=sr_t_40,2005,1h 40m,PG,6.3,97K,"Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being."
41. Bewitched,https://www.imdb.com/title/tt0374536/?ref_=sr_t_41,2005,1h 42m,PG-13,4.8,77K,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom Bewitched (1964)."
42. Jarhead,https://www.imdb.com/title/tt0418763/?ref_=sr_t_42,2005,2h 5m,R,7.0,214K,"A psychological study of Marine's state of mind during the Gulf War. Told through the eyes of a U.S. Marine sniper who struggles to cope with boredom, a sense of isolation, and other issues back home."
43. Cinderella Man,https://www.imdb.com/title/tt0352248/?ref_=sr_t_43,2005,2h 24m,PG-13,8.0,203K,"The true story of James J. Braddock, a supposedly washed-up boxer, who returned to the spotlight to win the heavyweight championship of the world."
44. The Family Stone,https://www.imdb.com/title/tt0356680/?ref_=sr_t_44,2005,1h 43m,PG-13,6.3,80K,"An uptight, liberal businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life."
45. Red Eye,https://www.imdb.com/title/tt0421239/?ref_=sr_t_45,2005,1h 25m,PG-13,6.5,153K,"Lisa on her flight to Miami befriends Jackson who turns out to be a terrorist. Holding her hostage, he forces her to help him assassinate the United States Deputy Secretary of Homeland Security."
46. Memoirs of a Geisha,https://www.imdb.com/title/tt0397535/?ref_=sr_t_46,2005,2h 25m,PG-13,7.3,166K,"The heartwarming tale of Nitta Sayuri, a young Japanese woman who transcended from her fishing-village roots and became one of Japan's most celebrated geisha."
