Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Spider-Man 3,https://www.imdb.com/title/tt0413300/?ref_=sr_t_1,2007,2h 19m,PG-13,6.3,661K,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",258000000.0,891679447,337281992,151116516,['Sam Raimi'],"['Sam Raimi', 'Ivan Raimi', 'Alvin Sargent']","['Tobey Maguire', 'Kirsten Dunst', 'Topher Grace']","['Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['Chicago, Illinois, USA']","['Columbia Pictures', 'Marvel Entertainment', 'Laura Ziskin Productions']","['English', 'French']",4,44,0,2007
2. Shrek the Third,https://www.imdb.com/title/tt0413267/?ref_=sr_t_2,2007,1h 33m,PG,6.1,343K,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",160000000.0,808308862,322719944,121629270,"['Chris Miller', 'Raman Hui']","['William Steig', 'Andrew Adamson', 'Jeffrey Price']","['Mike Myers', 'Cameron Diaz', 'Eddie Murphy']","['Computer Animation', 'Fairy Tale', 'Parody', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",['United States'],[],"['DreamWorks Animation', 'Pacific Data Images (PDI)']",['English'],5,17,0,2007
3. Transformers,https://www.imdb.com/title/tt0418279/?ref_=sr_t_3,2007,2h 24m,PG-13,7.1,692K,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",150000000.0,709709780,319246193,70502384,['Michael Bay'],"['Roberto Orci', 'Alex Kurtzman', 'John Rogers']","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']","['Action Epic', 'Alien Invasion', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['Michigan Central Depot - W. Vernor and W. Michigan Avenues, Detroit, Michigan, USA']","['Paramount Pictures', 'Dreamworks Pictures', 'Hasbro']","['English', 'Spanish']",25,50,3,2007
4. Pirates of the Caribbean: At World's End,https://www.imdb.com/title/tt0449088/?ref_=sr_t_4,2007,2h 49m,PG-13,7.1,713K,"Will Turner, Elizabeth Swann, Hector Barbossa, and the crew of the Black Pearl try and rescue Jack from davy jones locker and prepare to fight Lord Cutler Beckett, who controls Davy Jones and the Flying Dutchman.",300000000.0,961691209,309420425,114732820,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio', 'Stuart Beattie']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']","['Adventure Epic', 'Sea Adventure', 'Swashbuckler', 'Action', 'Adventure', 'Fantasy']",['United States'],"['Bonneville Salt Flats, Utah, USA']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",['English'],23,51,2,2007
5. Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/?ref_=sr_t_5,2007,2h 18m,PG-13,7.5,659K,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",150000000.0,942862581,292382727,77108414,['David Yates'],"['Michael Goldenberg', 'J.K. Rowling']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']","['Teen Adventure', 'Teen Fantasy', 'Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['United Kingdom', 'United States']","['Blenheim Palace, Woodstock, Oxfordshire, England, UK']","['Warner Bros.', 'Heyday Films']","['English', 'Latin']",17,50,0,2007
6. I Am Legend,https://www.imdb.com/title/tt0480249/?ref_=sr_t_6,2007,1h 41m,PG-13,7.2,842K,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",150000000.0,585410052,256393010,77211321,['Francis Lawrence'],"['Mark Protosevich', 'Akiva Goldsman', 'Richard Matheson']","['Will Smith', 'Alice Braga', 'Charlie Tahan']","['Dystopian Sci-Fi', 'Survival', 'Zombie Horror', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']","['United States', 'United Kingdom']","['USS Intrepid, New York City, New York, USA']","['Warner Bros.', 'Village Roadshow Pictures', 'Weed Road Pictures']",['English'],9,23,0,2007
7. The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/?ref_=sr_t_7,2007,1h 55m,PG-13,8.0,668K,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,110000000.0,442824138,227471070,69283690,['Paul Greengrass'],"['Tony Gilroy', 'Scott Z. Burns', 'George Nolfi']","['Matt Damon', 'Edgar Ramírez', 'Joan Allen']","['Spy', 'Action', 'Mystery', 'Thriller']","['United States', 'Germany', 'France', 'Spain']","['Madrid, Spain']","['Universal Pictures', 'Motion Picture BETA Produktionsgesellschaft', 'The Kennedy/Marshall Company']","['English', 'Russian', 'French', 'Spanish', 'Arabic', 'Italian']",29,42,3,2007
8. National Treasure: Book of Secrets,https://www.imdb.com/title/tt0465234/?ref_=sr_t_8,2007,2h 4m,PG,6.5,260K,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,130000000.0,459242249,219964115,44783772,['Jon Turteltaub'],"['Marianne Wibberley', 'Cormac Wibberley', 'Gregory Poirier']","['Nicolas Cage', 'Diane Kruger', 'Justin Bartha']","['Globetrotting Adventure', 'Action', 'Adventure', 'Mystery', 'Thriller']",['United States'],"[""Buckingham Palace, Pall Mall, St James's, Westminster, Greater London, England, UK""]","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Junction Entertainment']","['English', 'French']",0,5,0,2007
9. Alvin and the Chipmunks,https://www.imdb.com/title/tt0952640/?ref_=sr_t_9,2007,1h 32m,PG,5.3,99K,Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.,60000000.0,365352546,217326974,44307417,['Tim Hill'],"['Jon Vitti', 'Will McRobb', 'Chris Viscardi']","['Jason Lee', 'Ross Bagdasarian Jr.', 'Janice Karman']","['Animal Adventure', 'Jukebox Musical', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Music', 'Musical']",['United States'],"['St. Andrews Bungalow Court, Hollywood, Los Angeles, California, USA']","['Fox 2000 Pictures', 'Regency Enterprises', 'Bagdasarian Productions']","['English', 'French', 'Spanish', 'Japanese']",4,2,0,2007
10. Ratatouille,https://www.imdb.com/title/tt0382932/?ref_=sr_t_10,2007,1h 51m,G,8.1,871K,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,150000000.0,623729380,206445654,47027395,"['Brad Bird', 'Jan Pinkava']","['Brad Bird', 'Jan Pinkava', 'Jim Capobianco']","['Brad Garrett', 'Lou Romano', 'Patton Oswalt']","['Animal Adventure', 'Computer Animation', 'Satire', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['United States'],[],"['Walt Disney Pictures', 'Pixar Animation Studios']","['English', 'French']",68,42,1,2007
