,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
0,When I'm Ready,2025,107.0,8.7,28.0,"It's the end of the world. Seeking meaning and thrills in their last days alive, Rose and Michael embark on a cross-country road trip as a devastating asteroid threatens to wipe out life on Earth.",25500000.0,9104.0,9104.0,8220.0,Andrew Ortenberg,Romantic,0,0,0,9
1,When I'm Ready,2025,107.0,8.7,28.0,"It's the end of the world. Seeking meaning and thrills in their last days alive, Rose and Michael embark on a cross-country road trip as a devastating asteroid threatens to wipe out life on Earth.",25500000.0,9104.0,9104.0,8220.0,June Schreiner,Romantic,0,0,0,9
2,When I'm Ready,2025,107.0,8.7,28.0,"It's the end of the world. Seeking meaning and thrills in their last days alive, Rose and Michael embark on a cross-country road trip as a devastating asteroid threatens to wipe out life on Earth.",25500000.0,9104.0,9104.0,8220.0,Lauren Cohan,Romantic,0,0,0,9
3,Twinless,2025,100.0,8.4,171.0,Two grieving men bond in support group and form unlikely friendship.,25500000.0,977709.0,2339255.0,2339255.0,Dylan O'Brien,Comedy,3,0,0,18
4,Twinless,2025,100.0,8.4,171.0,Two grieving men bond in support group and form unlikely friendship.,25500000.0,977709.0,2339255.0,2339255.0,Lauren Graham,Comedy,3,0,0,18
5,Twinless,2025,100.0,8.4,171.0,Two grieving men bond in support group and form unlikely friendship.,25500000.0,977709.0,2339255.0,2339255.0,Arkira Chantaratananond,Comedy,3,0,0,18
6,Both Eyes Open,2025,103.0,8.4,23.0,"Ally escapes an abusive relationship but hallucinates about her abuser. She receives cryptic messages suggesting he's nearby. As the messages intensify and her reality unravels, Ally realizes the truth may be closer than she thought.",25500000.0,12013.0,12013.0,7914.0,Gail Bean,Thriller,0,0,0,12
7,Both Eyes Open,2025,103.0,8.4,23.0,"Ally escapes an abusive relationship but hallucinates about her abuser. She receives cryptic messages suggesting he's nearby. As the messages intensify and her reality unravels, Ally realizes the truth may be closer than she thought.",25500000.0,12013.0,12013.0,7914.0,Joy Brunson,Thriller,0,0,0,12
8,Both Eyes Open,2025,103.0,8.4,23.0,"Ally escapes an abusive relationship but hallucinates about her abuser. She receives cryptic messages suggesting he's nearby. As the messages intensify and her reality unravels, Ally realizes the truth may be closer than she thought.",25500000.0,12013.0,12013.0,7914.0,Taye Diggs,Thriller,0,0,0,12
9,Ne Zha 2,2025,143.0,8.3,2200.0,"After the catastrophe, although the souls of Nezha and Aobing were saved, their bodies would soon be shattered. Taiyi Zhenren planned to use the seven-colored lotus to rebuild their bodies.",25500000.0,977709.0,2339255.0,2339255.0,Joseph,Fantasy,0,0,0,6
10,Ne Zha 2,2025,143.0,8.3,2200.0,"After the catastrophe, although the souls of Nezha and Aobing were saved, their bodies would soon be shattered. Taiyi Zhenren planned to use the seven-colored lotus to rebuild their bodies.",25500000.0,977709.0,2339255.0,2339255.0,Mo Han,Fantasy,0,0,0,6
11,Ne Zha 2,2025,143.0,8.3,2200.0,"After the catastrophe, although the souls of Nezha and Aobing were saved, their bodies would soon be shattered. Taiyi Zhenren planned to use the seven-colored lotus to rebuild their bodies.",25500000.0,977709.0,2339255.0,2339255.0,Hao Chen,Fantasy,0,0,0,6
12,Badass Ravikumar,2025,146.0,8.1,7900.0,"The Xpose franchise now goes to the next level with Himesh Reshammiya doing a spin-off from his iconic character Ravi Kumar from his hit film 'The Xpose' as an action musical entertainer, in which he is up against 10 sensational villains.",25500000.0,977709.0,2339255.0,2339255.0,Sulabha Arya,Action,0,0,0,63
13,Badass Ravikumar,2025,146.0,8.1,7900.0,"The Xpose franchise now goes to the next level with Himesh Reshammiya doing a spin-off from his iconic character Ravi Kumar from his hit film 'The Xpose' as an action musical entertainer, in which he is up against 10 sensational villains.",25500000.0,977709.0,2339255.0,2339255.0,Mustafa Askari,Action,0,0,0,63
14,Badass Ravikumar,2025,146.0,8.1,7900.0,"The Xpose franchise now goes to the next level with Himesh Reshammiya doing a spin-off from his iconic character Ravi Kumar from his hit film 'The Xpose' as an action musical entertainer, in which he is up against 10 sensational villains.",25500000.0,977709.0,2339255.0,2339255.0,Varun Buddhadev,Action,0,0,0,63
15,VidaaMuyarchi,2025,154.0,8.0,18000.0,"A married couple's trip takes an unsettling turn when the wife goes missing, prompting the husband's frantic search while an unknown villain creates obstacles.",25500000.0,781082.0,2339255.0,2339255.0,Ajith Kumar,Action,0,0,0,63
16,VidaaMuyarchi,2025,154.0,8.0,18000.0,"A married couple's trip takes an unsettling turn when the wife goes missing, prompting the husband's frantic search while an unknown villain creates obstacles.",25500000.0,781082.0,2339255.0,2339255.0,Trisha Krishnan,Action,0,0,0,63
17,VidaaMuyarchi,2025,154.0,8.0,18000.0,"A married couple's trip takes an unsettling turn when the wife goes missing, prompting the husband's frantic search while an unknown villain creates obstacles.",25500000.0,781082.0,2339255.0,2339255.0,Regina Cassandra,Action,0,0,0,63
18,Becoming Led Zeppelin,2025,121.0,7.9,959.0,"The film traces the journeys of the four members of the Stairway To Heaven rockers through the music scene of the 1960s and their meeting in the summer of 1968, culminating in 1970.",25500000.0,3121788.0,2578510.0,2578510.0,Led Zeppelin,Music & Dance,0,0,0,3
19,Becoming Led Zeppelin,2025,121.0,7.9,959.0,"The film traces the journeys of the four members of the Stairway To Heaven rockers through the music scene of the 1960s and their meeting in the summer of 1968, culminating in 1970.",25500000.0,3121788.0,2578510.0,2578510.0,Jimmy Page,Music & Dance,0,0,0,3
20,Becoming Led Zeppelin,2025,121.0,7.9,959.0,"The film traces the journeys of the four members of the Stairway To Heaven rockers through the music scene of the 1960s and their meeting in the summer of 1968, culminating in 1970.",25500000.0,3121788.0,2578510.0,2578510.0,Robert Plant,Music & Dance,0,0,0,3
21,Deva,2025,156.0,7.8,18000.0,A brilliant yet rebellious police officer uncovers a web of deceit and betrayal while investigating a high-profile case.,500000000.0,957798.0,2339255.0,2339255.0,Pooja Hegde,Action,0,0,0,63
22,Deva,2025,156.0,7.8,18000.0,A brilliant yet rebellious police officer uncovers a web of deceit and betrayal while investigating a high-profile case.,500000000.0,957798.0,2339255.0,2339255.0,Shahid Kapoor,Action,0,0,0,63
