iter	Passed	Remaining
0	110	110686
1	117	58875
2	125	41580
3	131	32814
4	137	27295
5	140	23334
6	144	20533
7	154	19121
8	159	17595
9	171	16954
10	179	16177
11	186	15361
12	192	14590
13	194	13683
14	201	13208
15	204	12592
16	208	12070
17	216	11824
18	219	11358
19	227	11129
20	231	10786
21	236	10508
22	241	10254
23	244	9961
24	251	9819
25	259	9730
26	268	9684
27	277	9616
28	279	9351
29	283	9169
30	288	9024
31	295	8949
32	302	8852
33	304	8657
34	315	8694
35	323	8667
36	329	8574
37	339	8605
38	343	8456
39	351	8436
40	356	8332
41	358	8176
42	363	8087
43	371	8077
44	375	7973
45	381	7921
46	390	7919
47	396	7862
48	403	7839
49	408	7763
50	414	7713
51	420	7671
52	425	7600
53	427	7490
54	435	7474
55	439	7409
56	447	7399
57	454	7376
58	457	7297
59	462	7248
60	465	7158
61	470	7119
62	474	7055
63	476	6974
64	484	6962
65	489	6921
66	494	6892
67	507	6955
68	513	6926
69	521	6930
70	527	6906
71	530	6832
72	533	6779
73	539	6753
74	550	6784
75	555	6748
76	565	6776
77	573	6782
78	582	6796
79	590	6785
80	597	6774
81	601	6735
82	605	6691
83	611	6672
84	617	6647
85	619	6586
86	626	6575
87	636	6595
88	640	6559
89	647	6549
90	656	6561
91	661	6525
92	673	6572
93	680	6556
94	682	6500
95	690	6505
96	700	6521
97	706	6507
98	712	6482
99	718	6466
100	722	6429
101	724	6378
102	726	6329
103	735	6338
104	749	6389
105	752	6343
106	760	6344
107	771	6375
108	777	6355
109	784	6346
110	794	6362
111	800	6344
112	807	6339
113	815	6336
114	819	6308
115	827	6307
116	830	6270
117	839	6276
118	842	6235
119	846	6209
120	853	6200
121	860	6194
122	868	6192
123	875	6182
124	880	6166
125	888	6162
126	894	6146
127	904	6160
128	912	6159
129	918	6144
130	924	6134
131	929	6109
132	938	6114
13134	962	61613135	967	61413136	978	6161
137	983	61413138	995	6163
139	1005	6173
140	1007	6135
141	1012	6116
142	1019	6112
143	1031	6132
144	1035	6108
145	1041	6090
146	1048	6086
147	1051	6053
148	1061	6062
149	1064	6029
150	1069	6012
151	1151	1050	152	1084	6001
153	1091	5995
154	1101	6006
155	1108	5997
156	1110	5964
157	1116	5947
158	1121	5932
159	1127	5919
160	1131	5894
161	1138	5888
162	1152	5918
163	1161	5922
164	1167	5905
165	1170	5879
166	1174	5860
167	1184	5865
168	1187	5839
169	1195	5834
170	1198	5811
171	1210	5829
172	1214	5803
173	1218	5785
174	1221	5756
175	1226	5740
176	1230	5720
177	1237	5713
178	1242	5700
179	1252	5706
180	1260	5704
181	1268	5703
182	1278	5707
183	1286	5704
184	1288	5676
185	1294	5666
186	1302	5661
187	1307	5645
188	1310	5624
189	1323	5641
190	1328	5625
191	1333	5610
192	1349	5642
193	1354	5625
194	1361	5621
195	1367	5608
196	1372	5595
197	1377	5577
198	1385	5574
199	1390	5561
200	1393	5538
201	1405	5551
202	1409	5535
203	1413	5515
204	1416	5492
205	1422	5483
206	1428	5473
207	1434	5461
208	1439	5447
209	1444	5432
210	1449	5419
211	1453	5401
212	1455	5377
213	1459	5360
214	1466	5353
